Accesion,Organism,Source
BK039092.1,Siphoviridae sp.,Siphoviridae sp. (Human Metagenome)
LN590688.1,Cyprinus carpio,Cyprinus carpio (common carp)
EF380018.1,Escherichia phage phiX174,Escherichia phage phiX174
LN597452.1,Cyprinus carpio,Cyprinus carpio (common carp)
AF299306.1,Escherichia phage phiX174,Escherichia phage phiX174
HM753692.1,Escherichia phage phiX174,Escherichia phage phiX174
LN590970.1,Cyprinus carpio,Cyprinus carpio (common carp)
MZ366775.1,Opuntia ficus-indica,Opuntia ficus-indica
CP004084.1,Escherichia phage phiX174,Escherichia phage phiX174
LN592912.1,Cyprinus carpio,Cyprinus carpio (common carp)
MG188303.1,Cloning vector pCA-DEST2300,Cloning vector pCA-DEST2300
HM753669.1,Escherichia phage phiX174,Escherichia phage phiX174
MG188302.1,Cloning vector pCA-DEST2230,Cloning vector pCA-DEST2230
LN591795.1,Cyprinus carpio,Cyprinus carpio (common carp)
LC183523.1,Dioon caputoi,Dioon caputoi
HM753695.1,Escherichia phage phiX174,Escherichia phage phiX174
LC597681.1,synthetic construct,synthetic construct
MK542543.1,Expression vector pLT_208,Expression vector pLT_208
MW583054.1,Vitis wilsoniae,Vitis wilsoniae
EF380015.1,Escherichia phage phiX174,Escherichia phage phiX174
LN600047.1,Cyprinus carpio,Cyprinus carpio (common carp)
LT963435.1,Staphylococcus simulans,Staphylococcus simulans
LN593847.1,Cyprinus carpio,Cyprinus carpio (common carp)
KX904877.1,Fargesia denudata,chloroplast Fargesia denudata
LC183548.1,Dioon tomasellii,Dioon tomasellii
XR_002394011.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
MG188298.1,Cloning vector pCA-DEST2202,Cloning vector pCA-DEST2202
EF380014.1,Escherichia phage phiX174,Escherichia phage phiX174
LN591245.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN590767.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN590692.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN593390.1,Cyprinus carpio,Cyprinus carpio (common carp)
OV196099.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
HM775306.1,Escherichia phage phiX174,Escherichia phage phiX174
LN590881.1,Cyprinus carpio,Cyprinus carpio (common carp)
MW583074.1,Vitis riparia,Vitis riparia (riverbank grape)
MG188292.1,Cloning vector pCA-DEST1403,Cloning vector pCA-DEST1403
XR_002394027.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
LN591168.1,Cyprinus carpio,Cyprinus carpio (common carp)
EF380017.1,Escherichia phage phiX174,Escherichia phage phiX174
LK829830.1,Dicrocoelium dendriticum,Dicrocoelium dendriticum
LN590700.1,Cyprinus carpio,Cyprinus carpio (common carp)
XR_002394040.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
OX240841.1,Danio rerio,Danio rerio (zebrafish)
XM_021428954.1,Herrania umbratica,Herrania umbratica
LN590671.1,Cyprinus carpio,Cyprinus carpio (common carp)
GQ153912.1,Escherichia phage phiX174,Escherichia phage phiX174
MZ366776.1,Opuntia x cristalensis,Opuntia x cristalensis
LT703000.1,Erythrobacter sp. Alg231-14,Erythrobacter sp. Alg231-14
LN590914.1,Cyprinus carpio,Cyprinus carpio (common carp)
ON551388.1,Mycolicibacterium phage Kashi_SSH1,Mycolicibacterium phage Kashi_SSH1
LC597666.1,synthetic construct,synthetic construct
XR_002394003.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
LN591542.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN590685.1,Cyprinus carpio,Cyprinus carpio (common carp)
OX240735.1,Danio rerio,Danio rerio (zebrafish)
XR_002394007.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
MG188297.1,Cloning vector pCA-DEST2201,Cloning vector pCA-DEST2201
LT963441.1,Staphylococcus haemolyticus,Staphylococcus haemolyticus
XR_002394041.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
LN590987.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN590913.1,Cyprinus carpio,Cyprinus carpio (common carp)
OL824852.1,Phytolacca japonica,Phytolacca japonica
FJ849058.1,Escherichia phage phiX174,Escherichia phage phiX174
CP047558.1,Solanum pinnatisectum,Solanum pinnatisectum (tansyleaf nightshade)
LN596723.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN595600.1,Cyprinus carpio,Cyprinus carpio (common carp)
HM753707.1,Escherichia phage phiX174,Escherichia phage phiX174
LN593855.1,Cyprinus carpio,Cyprinus carpio (common carp)
LC597795.1,synthetic construct,synthetic construct
MG188277.1,Cloning vector pCA-DEST1202,Cloning vector pCA-DEST1202
MZ366780.1,Opuntia macrorhiza,Opuntia macrorhiza
AP024892.1,Vibrio pectenicida,Vibrio pectenicida
LN590968.1,Cyprinus carpio,Cyprinus carpio (common carp)
XR_002394004.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
OL824854.1,Phytolacca americana,Phytolacca americana (American pokeweed)
MH378442.1,Sinsheimervirus phiX174,Sinsheimervirus phiX174
KY199432.1,synthetic construct,synthetic construct
MZ366772.1,Opuntia austrina,Opuntia austrina
HM753718.1,Escherichia phage phiX174,Escherichia phage phiX174
LN599928.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN590675.1,Cyprinus carpio,Cyprinus carpio (common carp)
MG188280.1,Cloning vector pCA-DEST1220,Cloning vector pCA-DEST1220
XM_006473006.4,Citrus sinensis,Citrus sinensis (sweet orange)
MG188314.1,Cloning vector pCA-DEST2410,Cloning vector pCA-DEST2410
AF176027.1,Escherichia phage phiX174,Escherichia phage phiX174
HM753688.1,Escherichia phage phiX174,Escherichia phage phiX174
LN592964.1,Cyprinus carpio,Cyprinus carpio (common carp)
OV015804.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
LN591261.1,Cyprinus carpio,Cyprinus carpio (common carp)
HM753677.1,Escherichia phage phiX174,Escherichia phage phiX174
OL824853.1,Phytolacca thyrsiflora,Phytolacca thyrsiflora
XM_031397788.1,Pistacia vera,Pistacia vera
LN596142.1,Cyprinus carpio,Cyprinus carpio (common carp)
HM753717.1,Escherichia phage phiX174,Escherichia phage phiX174
LN594742.1,Cyprinus carpio,Cyprinus carpio (common carp)
HM775308.1,Escherichia phage phiX174,Escherichia phage phiX174
LN591049.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN595283.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN594072.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN591212.1,Cyprinus carpio,Cyprinus carpio (common carp)
LC597799.1,synthetic construct,synthetic construct
XR_001560992.1,Acropora digitifera,Acropora digitifera
LN590834.1,Cyprinus carpio,Cyprinus carpio (common carp)
XR_001560994.1,Acropora digitifera,Acropora digitifera
LC597780.1,synthetic construct,synthetic construct
LN590713.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN595475.1,Cyprinus carpio,Cyprinus carpio (common carp)
HM775311.1,Escherichia phage phiX174,Escherichia phage phiX174
LC597733.1,synthetic construct,synthetic construct
LN590803.1,Cyprinus carpio,Cyprinus carpio (common carp)
GQ153915.1,Escherichia phage phiX174,Escherichia phage phiX174
HM753672.1,Escherichia phage phiX174,Escherichia phage phiX174
KY199431.1,synthetic construct,synthetic construct
OX328280.1,Chamaenerion angustifolium,Chamaenerion angustifolium
LN591299.1,Cyprinus carpio,Cyprinus carpio (common carp)
DQ317017.1,Monsonia vanderietiae,Monsonia vanderietiae
OL824855.1,Phytolacca americana,Phytolacca americana (American pokeweed)
AF176033.1,Escherichia phage phiX174,Escherichia phage phiX174
LN590676.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN590986.1,Cyprinus carpio,Cyprinus carpio (common carp)
LC315647.2,Human coronavirus OC43,Human coronavirus OC43 (HCoV-OC43)
HM753680.1,Escherichia phage phiX174,Escherichia phage phiX174
LN590706.1,Cyprinus carpio,Cyprinus carpio (common carp)
LC597671.1,synthetic construct,synthetic construct
LC183533.1,Dioon merolae,Dioon merolae
LC183550.1,Dioon tomasellii,Dioon tomasellii
LN595682.1,Cyprinus carpio,Cyprinus carpio (common carp)
MZ366777.1,Opuntia x cristalensis,Opuntia x cristalensis
CP032564.1,Gossypium raimondii,Gossypium raimondii
LC597751.1,synthetic construct,synthetic construct
LN591199.1,Cyprinus carpio,Cyprinus carpio (common carp)
MW583107.1,Ampelopsis aconitifolia,Ampelopsis aconitifolia
HM753659.1,Escherichia phage phiX174,Escherichia phage phiX174
LC183536.1,Dioon merolae,Dioon merolae
AB737826.1,Streptococcus suis,Streptococcus suis
MW583064.1,Vitis betulifolia,Vitis betulifolia
LN595492.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN591166.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN594146.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN598297.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN590699.1,Cyprinus carpio,Cyprinus carpio (common carp)
MG188312.1,Cloning vector pCA-DEST2402,Cloning vector pCA-DEST2402
MW583053.1,Vitis heyneana,Vitis heyneana
AF299304.1,Escherichia phage phiX174,Escherichia phage phiX174
BK042951.1,Siphoviridae sp.,Siphoviridae sp. (Human Metagenome)
LC597710.1,synthetic construct,synthetic construct
MG188285.1,Cloning vector pCA-DEST1303,Cloning vector pCA-DEST1303
LN590883.1,Cyprinus carpio,Cyprinus carpio (common carp)
HM753703.1,Escherichia phage phiX174,Escherichia phage phiX174
LC597784.1,synthetic construct,synthetic construct
LC597755.1,synthetic construct,synthetic construct
XM_006434412.2,Citrus clementina,Citrus clementina
LN590673.1,Cyprinus carpio,Cyprinus carpio (common carp)
LC597805.1,synthetic construct,synthetic construct
EF380019.1,Escherichia phage phiX174,Escherichia phage phiX174
LT963440.1,Staphylococcus cohnii,Staphylococcus cohnii
LN593298.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN591027.1,Cyprinus carpio,Cyprinus carpio (common carp)
LR135910.1,uncultured Aenigmarchaeota archaeon,uncultured Aenigmarchaeota archaeon
LN592089.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN590709.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN595583.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN591563.1,Cyprinus carpio,Cyprinus carpio (common carp)
LC597749.1,synthetic construct,synthetic construct
CP002326.1,Caldicellulosiruptor acetigenus I77R1B,Caldicellulosiruptor acetigenus I77R1B
MW583049.1,Vitis rupestris,Vitis rupestris
LN594588.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN592971.1,Cyprinus carpio,Cyprinus carpio (common carp)
MZ366771.1,Opuntia auberi,Opuntia auberi
HM753694.1,Escherichia phage phiX174,Escherichia phage phiX174
LN598209.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN592208.1,Cyprinus carpio,Cyprinus carpio (common carp)
OM892756.1,Cecropia pachystachya,Cecropia pachystachya
HM753698.1,Escherichia phage phiX174,Escherichia phage phiX174
LN590806.1,Cyprinus carpio,Cyprinus carpio (common carp)
MW583051.1,Vitis lanceolatifoliosa,Vitis lanceolatifoliosa
XR_002393999.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
MG188276.1,Cloning vector pCA-DEST1201,Cloning vector pCA-DEST1201
LN591215.1,Cyprinus carpio,Cyprinus carpio (common carp)
XM_044654022.1,Mangifera indica,Mangifera indica (mango)
LN590889.1,Cyprinus carpio,Cyprinus carpio (common carp)
EF380020.1,Escherichia phage phiX174,Escherichia phage phiX174
HM753706.1,Escherichia phage phiX174,Escherichia phage phiX174
HM753673.1,Escherichia phage phiX174,Escherichia phage phiX174
MW583056.1,Vitis romanetii,Vitis romanetii
LN591098.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN590695.1,Cyprinus carpio,Cyprinus carpio (common carp)
HM775310.1,Escherichia phage phiX174,Escherichia phage phiX174
CP032573.1,Gossypium turneri,Gossypium turneri
LN596098.1,Cyprinus carpio,Cyprinus carpio (common carp)
LK996026.1,Desulfitobacterium hafniense,Desulfitobacterium hafniense
JQ764986.1,Escherichia phage phiX174,Escherichia phage phiX174
XR_002394010.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
MZ366782.1,Opuntia monacantha,Opuntia monacantha
GQ153913.1,Escherichia phage phiX174,Escherichia phage phiX174
XM_024241074.1,Pongo abelii,Pongo abelii (Sumatran orangutan)
XR_002394026.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
XR_001560982.1,Acropora digitifera,Acropora digitifera
LN598496.1,Cyprinus carpio,Cyprinus carpio (common carp)
XR_008193650.1,Gossypium raimondii,Gossypium raimondii
LN590800.1,Cyprinus carpio,Cyprinus carpio (common carp)
AP026443.1,Cellulomonas sp. NTE-D12,Cellulomonas sp. NTE-D12
AP024480.1,Caldicellulosiruptor diazotrophicus,Caldicellulosiruptor diazotrophicus
MG188304.1,Cloning vector pCA-DEST2301,Cloning vector pCA-DEST2301
LN592461.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN590853.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN594233.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN590902.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN596274.1,Cyprinus carpio,Cyprinus carpio (common carp)
MW583087.1,Leea guineensis,Leea guineensis
LN590839.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN590705.1,Cyprinus carpio,Cyprinus carpio (common carp)
MW583047.1,Vitis amurensis,Vitis amurensis
MG188290.1,Cloning vector pCA-DEST1401,Cloning vector pCA-DEST1401
LN590934.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN590908.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP106693.1,Gossypium herbaceum,Gossypium herbaceum
OL824859.1,Phytolacca americana,Phytolacca americana (American pokeweed)
LC597798.1,synthetic construct,synthetic construct
LT635623.1,Plasmodium vivax,Plasmodium vivax (malaria parasite P. vivax)
XR_002394023.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
LN598497.1,Cyprinus carpio,Cyprinus carpio (common carp)
OV195202.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
MZ366770.1,Opuntia arechavaletae,Opuntia arechavaletae
HM753679.1,Escherichia phage phiX174,Escherichia phage phiX174
LN597428.1,Cyprinus carpio,Cyprinus carpio (common carp)
XR_002393997.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
HM753668.1,Escherichia phage phiX174,Escherichia phage phiX174
LN590710.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN591070.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN596727.1,Cyprinus carpio,Cyprinus carpio (common carp)
LC597669.1,synthetic construct,synthetic construct
LC597797.1,synthetic construct,synthetic construct
LN594987.1,Cyprinus carpio,Cyprinus carpio (common carp)
OV196492.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
MG188316.1,Cloning vector pCA-DEST2430,Cloning vector pCA-DEST2430
LN590772.1,Cyprinus carpio,Cyprinus carpio (common carp)
HM753693.1,Escherichia phage phiX174,Escherichia phage phiX174
XM_044527778.1,Triticum aestivum,Triticum aestivum (bread wheat)
M14428.1,Enterobacteria phage S13,Enterobacteria phage S13
LN598517.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN590884.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN590689.1,Cyprinus carpio,Cyprinus carpio (common carp)
MG188287.1,Cloning vector pCA-DEST1320,Cloning vector pCA-DEST1320
LN596339.1,Cyprinus carpio,Cyprinus carpio (common carp)
OV195277.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
EF380016.1,Escherichia phage phiX174,Escherichia phage phiX174
XR_002394006.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
XM_021428956.1,Herrania umbratica,Herrania umbratica
LN598661.1,Cyprinus carpio,Cyprinus carpio (common carp)
LC597802.1,synthetic construct,synthetic construct
LN596502.1,Cyprinus carpio,Cyprinus carpio (common carp)
AF176034.1,Escherichia phage phiX174,Escherichia phage phiX174
OL824856.1,Phytolacca americana,Phytolacca americana (American pokeweed)
LN590930.1,Cyprinus carpio,Cyprinus carpio (common carp)
MG188286.1,Cloning vector pCA-DEST1310,Cloning vector pCA-DEST1310
MG188313.1,Cloning vector pCA-DEST2403,Cloning vector pCA-DEST2403
