Accesion,Organism,Source
CP043178.1,Pseudarthrobacter sp. NBSH8,Pseudarthrobacter sp. NBSH8
LN593543.1,Cyprinus carpio,Cyprinus carpio (common carp)
MH591882.1,Dendrobium amplum,mitochondrion Dendrobium amplum
GU476449.1,Cloezia floribunda,Cloezia floribunda
CP046588.1,Stenotrophomonas sp. SXG-1,Stenotrophomonas sp. SXG-1
CP065673.1,Serratia plymuthica,Serratia plymuthica
CP098483.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
CP113226.1,Pseudomonadaceae bacterium T75,Pseudomonadaceae bacterium T75
LN590683.1,Cyprinus carpio,Cyprinus carpio (common carp)
LT963440.1,Staphylococcus cohnii,Staphylococcus cohnii
CP016889.1,Pantoea agglomerans,Pantoea agglomerans
CP045099.1,Acinetobacter johnsonii,Acinetobacter johnsonii
XR_007573238.1,Nymphaea colorata,Nymphaea colorata (pocket water lily)
XR_002394009.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
CP014259.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
XR_008226127.1,Lactuca sativa,Lactuca sativa
MF417869.1,uncultured Caudovirales phage,uncultured Caudovirales phage
XR_001560985.1,Acropora digitifera,Acropora digitifera
CP018319.1,Pseudomonas frederiksbergensis,Pseudomonas frederiksbergensis
LN591299.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN594588.1,Cyprinus carpio,Cyprinus carpio (common carp)
HM753718.1,Escherichia phage phiX174,Escherichia phage phiX174
CP080330.1,Pseudomonas sp. ArH3a,Pseudomonas sp. ArH3a
LN597241.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN591781.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN593855.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP077949.1,Colletotrichum gigasporum,Colletotrichum gigasporum
CP083790.1,Klebsiella variicola,Klebsiella variicola
XM_006434412.2,Citrus clementina,Citrus clementina
MW448466.1,Glycyrrhiza glabra,mitochondrion Glycyrrhiza glabra
LN593496.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP011567.1,Pseudomonas sp. GR 6-02,Pseudomonas sp. GR 6-02
CP048492.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
MG841931.1,Pinus nigra,Pinus nigra
CP036210.1,Cercospora sojina,Cercospora sojina
HQ349070.1,Pinus squamata,Pinus squamata
CP059089.1,Pantoea agglomerans,Pantoea agglomerans
CP060974.1,Escherichia coli,Escherichia coli
CP073346.1,Pseudomonas benzenivorans,Pseudomonas benzenivorans
LN595796.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP045254.1,Pseudomonas sp. DTU12.1,Pseudomonas sp. DTU12.1
LN591305.1,Cyprinus carpio,Cyprinus carpio (common carp)
KX887330.1,Bupleurum falcatum,mitochondrion Bupleurum falcatum
AC144342.26,Medicago truncatula,Medicago truncatula (barrel medic)
CP095190.1,Cercospora sp. J1 LZ-2022,Cercospora sp. J1 LZ-2022
CP003410.1,Amycolatopsis keratiniphila,Amycolatopsis keratiniphila
MT361980.1,Cannabis sativa,mitochondrion Cannabis sativa
CP060027.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
XM_010072176.3,Eucalyptus grandis,Eucalyptus grandis
AP024657.1,Arthrobacter sp. NicSoilB11,Arthrobacter sp. NicSoilB11
CP066310.1,Azotobacter chroococcum,Azotobacter chroococcum
LT629970.1,Stutzerimonas xanthomarina,Stutzerimonas xanthomarina
CP047173.1,Rathayibacter sp. VKM Ac-2760,Rathayibacter sp. VKM Ac-2760
XR_008193602.1,Gossypium raimondii,Gossypium raimondii
LN598297.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP101752.1,Pseudomonas citronellolis,Pseudomonas citronellolis
LC183523.1,Dioon caputoi,Dioon caputoi
CP054205.1,Pseudomonas rhodesiae,Pseudomonas rhodesiae
MH378443.1,Sinsheimervirus phiX174,Sinsheimervirus phiX174
XR_002394008.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
XM_006474850.3,Citrus sinensis,Citrus sinensis (sweet orange)
MZ366775.1,Opuntia ficus-indica,Opuntia ficus-indica
XR_008226132.1,Lactuca sativa,Lactuca sativa
LN594833.1,Cyprinus carpio,Cyprinus carpio (common carp)
XR_008229525.1,Lactuca sativa,Lactuca sativa
XM_050388289.1,Quercus robur,Quercus robur (English oak)
OV196022.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
MG841929.1,Pinus nigra,Pinus nigra
CP011306.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
XR_004003868.1,Syzygium oleosum,Syzygium oleosum
CP082787.1,Serratia entomophila,Serratia entomophila
CP052522.1,Klebsiella pneumoniae,Klebsiella pneumoniae
LN590978.1,Cyprinus carpio,Cyprinus carpio (common carp)
XM_050416183.1,Quercus robur,Quercus robur (English oak)
XR_002393998.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
OM970794.1,Limnanthes alba,Limnanthes alba (white meadowfoam)
LC079947.1,Mycolicibacterium sphagni,Mycolicibacterium sphagni (Mycobacterium sphagni)
CP083947.1,Acinetobacter johnsonii,Acinetobacter johnsonii
CP064751.1,Fusarium culmorum,mitochondrion Fusarium culmorum
BK055234.1,Myoviridae sp.,Myoviridae sp. (Human Metagenome)
NC_063516.1,Stylosanthes pilosa,mitochondrion Stylosanthes pilosa
MN935404.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
CP087173.1,Pseudomonas donghuensis,Pseudomonas donghuensis
CP065688.1,Serratia plymuthica,Serratia plymuthica
BK055277.1,Myoviridae sp.,Myoviridae sp. (Human Metagenome)
CP076368.1,Pantoea dispersa,Pantoea dispersa
CP007287.1,Bifidobacterium coryneforme,Bifidobacterium coryneforme
KT764101.1,Pinus bungeana,Pinus bungeana
LN593682.1,Cyprinus carpio,Cyprinus carpio (common carp)
XR_005464651.1,Tripterygium wilfordii,Tripterygium wilfordii
CP061878.1,Alternaria alternata,Alternaria alternata
XR_008226146.1,Lactuca sativa,Lactuca sativa
XR_002394024.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
LN599928.1,Cyprinus carpio,Cyprinus carpio (common carp)
XR_001560994.1,Acropora digitifera,Acropora digitifera
CP018420.1,Pseudomonas veronii,Pseudomonas veronii
CP095293.1,Ascochyta rabiei,Ascochyta rabiei (Didymella rabiei)
LN596727.1,Cyprinus carpio,Cyprinus carpio (common carp)
XM_033588779.1,Didymella exigua CBS 183.55,Didymella exigua CBS 183.55
JQ764988.2,Escherichia phage phiX174,Escherichia phage phiX174
CP056030.1,Pseudomonas eucalypticola,Pseudomonas eucalypticola
LN596723.1,Cyprinus carpio,Cyprinus carpio (common carp)
HM753678.1,Escherichia phage phiX174,Escherichia phage phiX174
CP011247.1,Agrobacterium fabacearum,Agrobacterium fabacearum
CP007620.1,Pseudomonas putida,Pseudomonas putida
XM_007693506.1,Bipolaris oryzae ATCC 44560,Bipolaris oryzae ATCC 44560
CP029093.1,Pseudomonas paraeruginosa,Pseudomonas paraeruginosa
CP009974.1,Pseudomonas putida S12,Pseudomonas putida S12
XM_021428954.1,Herrania umbratica,Herrania umbratica
CP110592.1,Klebsiella pneumoniae,Klebsiella pneumoniae
XM_044618597.1,Mangifera indica,Mangifera indica (mango)
CP060259.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
AP012551.1,Plautia stali symbiont,Plautia stali symbiont
CP003990.1,Streptomyces sp. PAMC 26508,Streptomyces sp. PAMC 26508
XM_037697963.1,Nematolebias whitei,Nematolebias whitei (Rio pearlfish)
CP022201.1,Pseudomonas thivervalensis,Pseudomonas thivervalensis
XR_002394025.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
LR867583.1,uncultured Glissomonadida,uncultured Glissomonadida
CP077658.1,Streptomyces sp. GMY02,Streptomyces sp. GMY02
LN591165.1,Cyprinus carpio,Cyprinus carpio (common carp)
MN935405.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
XM_031098886.1,Quercus lobata,Quercus lobata
MW583086.1,Vitis labrusca,Vitis labrusca
LR785465.1,Phallusia mammillata,Phallusia mammillata
XR_008226138.1,Lactuca sativa,Lactuca sativa
CP062993.1,Klebsiella pneumoniae,Klebsiella pneumoniae
CP045193.1,Klebsiella pneumoniae,Klebsiella pneumoniae
OX327714.1,Ailanthus altissimus,mitochondrion Ailanthus altissimus
LC597807.1,synthetic construct,synthetic construct
CP038389.1,Escherichia coli O55:H7,Escherichia coli O55:H7
CP078102.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
CP014158.1,Pseudomonas citronellolis,Pseudomonas citronellolis
HM753689.1,Escherichia phage phiX174,Escherichia phage phiX174
XR_008229514.1,Lactuca sativa,Lactuca sativa
AF206927.1,Heteropyxis natalensis,Heteropyxis natalensis
CP032616.1,Pseudomonas sp. DY-1,Pseudomonas sp. DY-1
HM753675.1,Escherichia phage phiX174,Escherichia phage phiX174
CP015639.1,Pseudomonas lurida,Pseudomonas lurida
CP002279.1,Mesorhizobium opportunistum WSM2075,Mesorhizobium opportunistum WSM2075
MG841957.1,Pinus nigra,Pinus nigra
LR882990.1,Escherichia coli,Escherichia coli
CP002739.1,Thermoanaerobacterium xylanolyticum LX-11,Thermoanaerobacterium xylanolyticum LX-11
LC597671.1,synthetic construct,synthetic construct
LN592632.1,Cyprinus carpio,Cyprinus carpio (common carp)
HM753673.1,Escherichia phage phiX174,Escherichia phage phiX174
CP067028.1,Agrobacterium fabrum,Agrobacterium fabrum
KY537963.1,Gossypium raimondii,Gossypium raimondii
CP110110.1,Stutzerimonas balearica,Stutzerimonas balearica
OX326965.1,Medicago arabica,Medicago arabica
CP043311.1,Pseudomonas lalkuanensis,Pseudomonas lalkuanensis
OV197600.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
CP029983.1,Pseudomonas sp. LG1E9,Pseudomonas sp. LG1E9
LN590703.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP070356.1,Pseudomonas sp. PDNC002,Pseudomonas sp. PDNC002
LC597704.1,synthetic construct,synthetic construct
CP092042.1,Enterobacter cloacae,Enterobacter cloacae
CP014207.1,Pantoea ananatis,Pantoea ananatis
CP075566.1,Pseudomonas fluorescens,Pseudomonas fluorescens
XR_008226136.1,Lactuca sativa,Lactuca sativa
MF389952.1,Pinus sylvestris,Pinus sylvestris (Scots pine)
MW583049.1,Vitis rupestris,Vitis rupestris
HM367685.1,Vigna radiata,mitochondrion Vigna radiata (mungbean)
CP088244.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
BK030521.1,Siphoviridae sp.,Siphoviridae sp. (Human Metagenome)
CP104290.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
CP110832.1,Agrobacterium sp. 13-2099-1-2,Agrobacterium sp. 13-2099-1-2
CP092830.1,Pseudomonas azotoformans,Pseudomonas azotoformans
MG842108.1,Pinus nigra,Pinus nigra
CP114486.1,Coriaria nepalensis,Coriaria nepalensis
OW028766.1,Quercus robur,Quercus robur (English oak)
OX359260.1,Solanum dulcamara,Solanum dulcamara
ON024071.1,Actinidia chinensis var. chinensis,mitochondrion Actinidia chinensis var. chinensis
CP086009.1,Pantoea ananatis,Pantoea ananatis
OL824849.1,Phytolacca rivinoides,Phytolacca rivinoides
CP090168.1,Fulvia fulva,Fulvia fulva
CP018846.1,Pseudomonas putida,Pseudomonas putida
CP071586.1,Pseudomonas germanica,Pseudomonas germanica
XR_002394019.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
CP040434.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
LT629801.1,Pseudomonas rhodesiae,Pseudomonas rhodesiae
MW583080.1,Vitis mustangensis,Vitis mustangensis
LN592962.1,Cyprinus carpio,Cyprinus carpio (common carp)
HQ349072.1,Pinus strobus,Pinus strobus (Eastern white pine)
MN935420.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
CP099425.1,Septoria linicola,Septoria linicola (Mycosphaerella linicola)
CP104286.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
LR135185.1,Enterococcus faecium,Enterococcus faecium
MG841920.1,Pinus nigra,Pinus nigra
MF389955.1,Pinus sylvestris,Pinus sylvestris (Scots pine)
LN591118.1,Cyprinus carpio,Cyprinus carpio (common carp)
XM_028655756.1,Alternaria arborescens,Alternaria arborescens
OX328279.1,Chamaenerion angustifolium,Chamaenerion angustifolium
HG518323.1,Rhizobium pusense,Rhizobium pusense (Agrobacterium pusense)
NC_060990.1,Mangifera longipes,mitochondrion Mangifera longipes
CP002326.1,Caldicellulosiruptor acetigenus I77R1B,Caldicellulosiruptor acetigenus I77R1B
CP113865.1,Caldicellulosiruptor morganii,Caldicellulosiruptor morganii
KY538008.1,Aucuba japonica,Aucuba japonica
XR_002394006.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
CP060022.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
CP024636.1,Pantoea sp. MSR2,Pantoea sp. MSR2
CP104289.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
MG841925.1,Pinus nigra,Pinus nigra
HM753676.1,Escherichia phage phiX174,Escherichia phage phiX174
MW583070.1,Vitis davidii,Vitis davidii
XR_008229556.1,Lactuca sativa,Lactuca sativa
CP040771.1,Cicer arietinum,Cicer arietinum (chickpea)
U52033.1,Cornus officinalis,Cornus officinalis
NC_065228.1,Prunus armeniaca,mitochondrion Prunus armeniaca (apricot)
LR134487.1,Kocuria rosea,Kocuria rosea
MN935403.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
LN596142.1,Cyprinus carpio,Cyprinus carpio (common carp)
NC_039768.1,Glycine soja,mitochondrion Glycine soja
CP006256.1,Pseudomonas syringae pv. syringae HS191,Pseudomonas syringae pv. syringae HS191
XR_002393995.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
XM_017752458.1,Gossypium arboreum,Gossypium arboreum
MW182669.1,Fusarium meridionale,mitochondrion Fusarium meridionale
MW583089.1,Vitis rotundifolia,Vitis rotundifolia
CP102179.1,Pseudomonas canavaninivorans,Pseudomonas canavaninivorans
CP050510.1,Pseudomonas chlororaphis subsp. aurantiaca,Pseudomonas chlororaphis subsp. aurantiaca
CP023118.1,Lupinus angustifolius,Lupinus angustifolius (narrow-leaved blue lupine)
LN591021.1,Cyprinus carpio,Cyprinus carpio (common carp)
HM753686.1,Escherichia phage phiX174,Escherichia phage phiX174
XR_008226120.1,Lactuca sativa,Lactuca sativa
MZ366772.1,Opuntia austrina,Opuntia austrina
CP077085.1,Pseudomonas shahriarae,Pseudomonas shahriarae
XR_002394032.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
LC597779.1,synthetic construct,synthetic construct
CP099727.1,Pseudomonas putida,Pseudomonas putida
CP066803.1,Pantoea ananatis,Pantoea ananatis
LN590965.1,Cyprinus carpio,Cyprinus carpio (common carp)
OV195107.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
LN594483.1,Cyprinus carpio,Cyprinus carpio (common carp)
OP723652.1,Lagerstroemia indica,Lagerstroemia indica
CP034558.1,Pseudomonas syringae,Pseudomonas syringae
LC597676.1,synthetic construct,synthetic construct
LN590773.1,Cyprinus carpio,Cyprinus carpio (common carp)
LS992171.1,Escherichia coli,Escherichia coli
OU015547.1,Caprimulgus europaeus,Caprimulgus europaeus (Eurasian nightjar)
AM235529.1,Eugenia uniflora,Eugenia uniflora
CP068187.1,Acinetobacter johnsonii,Acinetobacter johnsonii
NC_065231.1,Prunus mira,mitochondrion Prunus mira
LC597732.1,synthetic construct,synthetic construct
XM_031071079.1,Quercus lobata,Quercus lobata
MN935410.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
MW583068.1,Vitis pseudoreticulata,Vitis pseudoreticulata
MH757117.1,Haberlea rhodopensis,mitochondrion Haberlea rhodopensis
XM_018525055.1,Alternaria alternata,Alternaria alternata
LN590676.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP036494.1,Pseudomonas putida,Pseudomonas putida
GU476424.1,Eucalyptus deglupta,Eucalyptus deglupta
LN907827.1,Erwinia gerundensis,Erwinia gerundensis
CP019952.1,Pseudomonas parafulva,Pseudomonas parafulva
MW583107.1,Ampelopsis aconitifolia,Ampelopsis aconitifolia
CP106707.1,Gossypium herbaceum,Gossypium herbaceum
CP097529.1,Pseudomonas putida,Pseudomonas putida
JN872550.1,Pongamia pinnata,mitochondrion Pongamia pinnata
XR_008226130.1,Lactuca sativa,Lactuca sativa
LN595230.1,Cyprinus carpio,Cyprinus carpio (common carp)
XM_018524688.1,Alternaria alternata,Alternaria alternata
CP070245.1,Streptomyces californicus,Streptomyces californicus
MW583051.1,Vitis lanceolatifoliosa,Vitis lanceolatifoliosa
AY674612.1,Leea guineensis,Leea guineensis
CP029608.1,Pseudomonas kribbensis,Pseudomonas kribbensis
AP014623.1,Pseudomonas chlororaphis subsp. aurantiaca,Pseudomonas chlororaphis subsp. aurantiaca
MG842102.1,Pinus nigra,Pinus nigra
CP040930.1,Pseudomonas sp. SWI7,Pseudomonas sp. SWI7
U42800.1,Photinia x fraseri,Photinia x fraseri
AP024660.1,Arthrobacter sp. NicSoilC5,Arthrobacter sp. NicSoilC5
CP110133.1,Peribacillus frigoritolerans,Peribacillus frigoritolerans
HM753666.1,Escherichia phage phiX174,Escherichia phage phiX174
MG841960.1,Pinus nigra,Pinus nigra
OV197539.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
LN591563.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN593110.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP066123.1,Pseudomonas sp. MPFS,Pseudomonas sp. MPFS
MW583052.1,Vitis bellula var. pubigera,Vitis bellula var. pubigera
CP052857.1,Pseudomonas sp. ADAK21,Pseudomonas sp. ADAK21
CP102784.1,Bipolaris sorokiniana,Bipolaris sorokiniana (Cochliobolus sativus)
CP060021.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
CP025662.1,Ipomoea triloba,Ipomoea triloba (trilobed morning glory)
CP087710.1,Nocardioides okcheonensis,Nocardioides okcheonensis
CP086598.1,Stenotrophomonas sp. SI-NJAU-1,Stenotrophomonas sp. SI-NJAU-1
MT806100.1,Sapindus mukorossi,mitochondrion Sapindus mukorossi
XM_031071334.1,Quercus lobata,Quercus lobata
OV016108.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
CP031011.1,Acinetobacter johnsonii,Acinetobacter johnsonii
CP048523.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
CP024273.1,Escherichia coli,Escherichia coli
CP027742.1,Pseudomonas chlororaphis subsp. aurantiaca,Pseudomonas chlororaphis subsp. aurantiaca
HQ349032.1,Pinus monophylla,Pinus monophylla
JX069762.1,Cloning vector pFosill-2,Cloning vector pFosill-2
OX327691.1,Ailanthus altissimus,Ailanthus altissimus
CP039837.1,Escherichia coli O55:H7,Escherichia coli O55:H7
KF754803.1,Amborella trichopoda,mitochondrion Amborella trichopoda
LT222319.1,Pseudomonas cerasi,Pseudomonas cerasi
XR_002394037.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
LN595867.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP054912.1,Pantoea ananatis,Pantoea ananatis
CP004045.1,Pseudomonas poae RE*1-1-14,Pseudomonas poae RE*1-1-14
CP039336.1,Cicer arietinum,Cicer arietinum (chickpea)
MN935390.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
CP091781.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
HQ349042.1,Pinus peuce,Pinus peuce
CP091067.1,Pseudomonas sp. BC42,Pseudomonas sp. BC42
XR_007214912.1,Ricinus communis,Ricinus communis (castor bean)
LT963395.1,Pseudomonas cerasi,Pseudomonas cerasi
LN590690.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP048519.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
XR_004003773.1,Syzygium oleosum,Syzygium oleosum
XM_044653586.1,Mangifera indica,Mangifera indica (mango)
CP009454.1,Pantoea rwandensis,Pantoea rwandensis
MN935396.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
XM_018528968.1,Alternaria alternata,Alternaria alternata
CP031264.1,Peterkaempfera bronchialis,Peterkaempfera bronchialis
MN935409.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
CP022561.1,Pseudomonas putida,Pseudomonas putida
OP723644.1,Lagerstroemia indica,Lagerstroemia indica
CP061877.1,Alternaria alternata,Alternaria alternata
CP104727.1,Pseudomonas citronellolis,Pseudomonas citronellolis
CP019947.1,Pseudomonas sp. CC6-YY-74,Pseudomonas sp. CC6-YY-74
CP025309.1,Pseudomonas chlororaphis,Pseudomonas chlororaphis
